1a,Biomass_Mt,1b,Biomethane_Mm3,1c,overall_m3,potential_first_m3,economics_first_m3,1d,100_Mm3,200_Mm3,300_Mm3,400_Mm3,500_Mm3
Food_waste,35.85255,Food_waste,10217.98,Food_waste,5262757580,1493979764,2052371681,Food_waste,2052.371681,2970.510618,3928.549798,4688.738543,5262.75758
Pig,56.61058,Pig,14265.87,Pig,7283979378,2129761596,1686577499,Pig,1686.577499,3404.880271,4897.973797,6213.102619,7283.979378
S&G,75.31065,S&G,13555.92,S&G,3300160467,1145873824,755028836,S&G,755.028836,1300.891689,2167.908442,2877.051239,3300.160467
Poultry,45.53808,Poultry,13388.2,Poultry,7958275406,2893596045,1495575866,Poultry,1495.575866,3168.554666,5232.251443,6909.433581,7958.275406
Beef,47.24091,Beef,8503.36,Beef,1511307383,385489697,225682456,Beef,225.682456,541.597957,961.817769,1251.193222,1511.307383
Dairy,9.45978,Dairy,1702.76,Dairy,683463823,154684207,290922214,Dairy,290.922214,386.152627,496.48815,606.441411,683.463823
Rice,71.20787,Rice,11962.92,Rice,5315610626,900634898,890119968,Rice,890.119968,2216.514181,3403.71073,4418.188208,5315.610626
Maize,141.92553,Maize,11504.48,Maize,4251081142,1348115371,318244853,Maize,318.244853,812.563274,1756.529833,2887.2299,4251.081142
Wheat,53.87803,Wheat,9051.51,Wheat,6222113634,3073107815,251047244,Wheat,251.047244,771.902399,2310.013869,4101.228726,6222.113634
Cotton,10.36592,Cotton,1243.91,Cotton,257561878,46052059,81096163,Cotton,81.096163,119.729608,188.344466,227.981807,257.561878
Soybeans,9.60196,Soybeans,1152.24,Soybeans,275152136,80625398,27679102,Soybeans,27.679102,62.595742,102.822828,165.478317,275.152136
Canola,8.0718,Canola,968.62,Canola,362160362,82496456,52177085,Canola,52.177085,159.230895,221.376318,284.638732,362.160362
Peanuts,6.90046,Peanuts,828.06,Peanuts,500351199,220283031,35124156,Peanuts,35.124156,86.907356,215.368037,355.58553,500.351199
Potatoes,6.05304,Potatoes,828.06,Potatoes,535230143,103606805,116492658,Potatoes,116.492658,264.206066,361.123035,454.079417,535.230143
Othergtain,2.63158,Othergtain,315.79,Othergtain,70966233,13731899,10179168,Othergtain,10.179168,23.037299,34.680856,49.025611,70.9662
