1a,Biomethane_Mm3,1b,overall_m3,potential_first_m3,economics_first_m3,1c,100_m3,200_m3,300_m3,400_m3,500_m3
Food_waste,10217.98,Food_waste,5262757580,1493979764,2052371681,Food_waste,2052371681,2970510618,3928549798,4688738543,5262757580
Pig,14265.87,Pig,7283979378,2129761596,1686577499,Pig,1686577499,3404880271,4897973797,6213102619,7283979378
S&G,13555.92,S&G,3300160467,1145873824,755028836,S&G,755028836,1300891689,2167908442,2877051239,3300160467
Poultry,13388.2,Poultry,7958275406,2893596045,1495575866,Poultry,1495575866,3168554666,5232251443,6909433581,7958275406
Beef,8503.36,Beef,1511307383,385489697,225682456,Beef,225682456,541597957,961817769,1251193222,1511307383
Dairy,1702.76,Dairy,683463823,154684207,290922214,Dairy,290922214,386152627,496488150,606441411,683463823
Rice,11962.92,Rice,5315610626,900634898,890119968,Rice,890119968,2216514181,3403710730,4418188208,5315610626
Maize,11504.48,Maize,4251081142,1348115371,318244853,Maize,318244853,812563274,1756529833,2887229900,4251081142
Wheat,9051.51,Wheat,6222113634,3073107815,251047244,Wheat,251047244,771902399,2310013869,4101228726,6222113634
Cotton,1243.91,Cotton,257561878,46052059,81096163,Cotton,81096163,119729608,188344466,227981807,257561878
Soybeans,1152.24,Soybeans,275152136,80625398,27679102,Soybeans,27679102,62595742,102822828,165478317,275152136
Canola,968.62,Canola,362160362,82496456,52177085,Canola,52177085,159230895,221376318,284638732,362160362
Peanuts,828.06,Peanuts,500351199,220283031,35124156,Peanuts,35124156,86907356,215368037,355585530,500351199
Potatoes,828.06,Potatoes,535230143,103606805,116492658,Potatoes,116492658,264206066,361123035,454079417,535230143
Othergtain,315.79,Othergtain,70966233,13731899,10179168,Othergtain,10179168,23037299,34680856,49025611,70966200
