,Biomass_purchasing,Biomass_transport,Digestate_transport,Investment,Operation_and_maintenance,Biogas_upgrading,Carbon_transport,Carbon_storage,Digestate_income,Biomethane_income,Net_cost
,Cost_$_t_CO2eq-1,Cost_$_t_CO2eq-1,Cost_$_t_CO2eq-1,Cost_$_t_CO2eq-1,Cost_$_t_CO2eq-1,Cost_$_t_CO2eq-1,Cost_$_t_CO2eq-1,Cost_$_t_CO2eq-1,Revenues_$_t_CO2eq-1,Revenues_$_t_CO2eq-1,$_t_CO2eq-1
Soybeans,100.357,11.173,13.257,64.283,31.521,79.785,2.528,4.489,31.753,272.071,3.569
Potapoes,119.621,9.988,11.851,65.513,32.124,82.876,2.626,4.663,28.386,282.613,18.264
Cotton,133.809,11.173,13.257,64.283,31.521,79.785,2.528,4.489,31.753,272.071,37.021
Wheat,179.381,8.559,10.155,68.941,33.805,89.398,2.833,5.03,24.324,304.854,68.925
Rice,179.381,8.559,10.155,68.941,33.805,89.398,2.833,5.03,24.324,304.854,68.925
Othergrain,200.713,11.173,13.257,64.283,31.521,79.785,2.528,4.489,31.753,272.071,103.926
Peanuts,234.166,11.173,13.257,64.283,31.521,79.785,2.528,4.489,31.753,272.071,137.378
Maize,230.675,15.409,18.283,59.887,29.365,68.731,2.178,3.867,43.792,234.377,150.227
Canola,267.618,11.173,13.257,64.283,31.521,79.785,2.528,4.489,31.753,272.071,170.83
Pig,19.178,6.405,7.6,77.391,37.948,103.941,3.294,5.848,18.204,354.444,-111.042
Beef,24.451,8.167,9.69,70.48,34.559,92.047,2.917,5.179,23.209,313.886,-89.604
Dairy,24.451,8.167,9.69,70.48,34.559,92.047,2.917,5.179,23.209,313.886,-89.604
S&G,24.451,8.167,9.69,70.48,34.559,92.047,2.917,5.179,23.209,313.886,-89.604
Poultry,119.243,5.69,6.751,80.2,39.325,108.774,3.447,6.12,16.169,370.927,-17.546
Food waste,0,5.829,6.916,79.652,39.057,107.832,3.417,6.067,16.566,367.713,-135.508
average_for_constructing_500_biogas_plants,108.835,8.154,9.674,70.675,34.655,92.341,2.795,5.196,314.89,23.172,-5.737
