base_Total_mitigation_Mt_CO2eq,base_Net_cost_of_total_mitigation_$_t_CO2eq-1,CPI_Total_mitigation_Mt_CO2eq,CPI_Net_cost_of_total_mitigation_$_t_CO2eq-1,full_straw_utilization_Total_mitigation_Mt_CO2eq,full_straw_utilization_Net_cost_of_total_mitigation_$_t_CO2eq-1
0.08208,-126.35,0.10027,-163.8,0.0821,-125.97
0.17179,-121.28,0.21662,-150.15,0.17781,-105.92
0.39238,-110.62,0.50391,-141.22,0.4288,-87.72
0.53805,-99.07,0.68322,-139.74,0.58764,-84.15
0.70501,-98.95,0.80216,-139.12,0.69792,-76.45
0.80225,-97.58,1.01489,-134.37,0.91631,-71.94
0.98954,-95.98,1.25881,-129.95,1.11648,-70.12
1.15542,-86.03,1.38701,-127.98,1.25397,-58.47
1.2705,-84.66,1.53255,-123.41,1.37983,-56.93
1.38925,-83.71,1.66894,-122.26,1.51365,-51.88
1.49916,-80.07,1.82123,-120.86,1.6723,-44.69
1.6085,-79.09,2.03745,-119.12,1.88432,-42.05
1.69339,-69.05,2.14807,-106.73,2.02237,-38.59
1.86085,-66.4,2.24294,-106.52,2.12611,-34.64
1.94509,-65.05,2.4576,-106.06,2.24777,-33.29
2.02706,-63.31,2.56347,-104.67,2.34394,-32.79
2.1572,-62.49,2.67441,-104.02,2.45383,-32.71
2.25689,-62.22,2.82264,-103.23,2.56896,-30.86
2.37228,-61.01,2.91893,-102.35,2.67782,-30.18
2.52778,-60.55,3.12152,-100.26,2.89051,-30.07
2.66638,-58.99,3.2406,-99.77,3.00613,-29.62
2.74284,-58.6,3.3679,-99.52,3.17429,-28.99
2.84298,-58.09,3.47456,-99.5,3.30249,-26.17
2.93236,-58.02,3.60217,-98.73,3.41349,-24.81
3.03444,-57.59,3.76625,-98.29,3.54344,-24.47
3.18717,-56.29,3.93587,-97.2,3.82436,-23.26
3.34892,-55.98,4.14574,-97,3.9249,-23.08
3.42961,-55.12,4.31206,-96.11,4.09523,-22.76
3.55963,-53.39,4.47027,-95.83,4.25552,-22.46
3.69096,-53.26,4.65104,-95.6,4.41766,-21.73
3.83941,-52.76,4.92869,-94.93,4.56596,-21.2
4.05544,-51.09,5.05612,-94,4.69832,-20.78
4.13666,-50.46,5.24962,-93.62,4.84308,-19.51
4.22627,-50.19,5.35034,-92.97,5.06377,-18.98
4.38882,-48.56,5.63111,-91.91,5.21791,-18.7
4.51713,-47.65,5.74857,-91.87,5.44363,-18.65
4.61745,-47.39,5.85094,-91.41,5.65548,-18.53
4.79433,-47.27,5.96593,-91.07,5.76614,-17.29
4.8854,-46.95,6.16372,-90.93,5.96949,-17.07
5.00857,-46.93,6.31702,-90.39,6.16474,-15.98
5.08861,-46.68,6.44775,-90.2,6.40348,-15.9
5.31285,-45.89,6.6128,-88.58,6.52134,-15.03
5.41473,-45.6,6.78396,-87.71,6.62678,-14.96
5.54226,-45.19,6.87396,-87.54,6.78405,-12.6
5.69277,-44.2,7.03374,-86.95,6.97518,-12.05
5.82677,-43.62,7.25979,-86.85,7.1578,-11.42
5.93222,-42.5,7.41713,-86.68,7.28084,-11.21
6.02248,-42.49,7.53725,-86.65,7.52148,-10.37
6.15754,-42.48,7.71192,-86.46,7.63194,-8.26
6.33103,-42.29,7.91957,-86.09,7.81466,-8.12
6.43083,-41.76,8.04191,-85.64,7.911,-8.11
6.52669,-41.25,8.1543,-85.47,8.10214,-7.79
6.62121,-40.82,8.31141,-84.98,8.30431,-7.73
6.74902,-40.67,8.54222,-84.75,8.6196,-7.34
6.85517,-40.56,8.7382,-84.68,8.76225,-7.27
6.99808,-39.04,8.91961,-84.67,8.89709,-7.08
7.12296,-38.77,9.02186,-84.4,9.01739,-6.22
7.23973,-38.45,9.15602,-82.92,9.20268,-4.1
7.32005,-37.43,9.32267,-82.9,9.37785,-3.82
7.39398,-36.6,9.42525,-82.54,9.55735,-1.84
7.52855,-36.55,9.56273,-82.51,9.67473,-1.52
7.67255,-35.93,9.75059,-82.14,9.88905,-0.59
7.79589,-35.88,9.90194,-82,10.04027,0.2
7.89818,-35.73,10.07684,-80.78,10.26308,1.55
7.98151,-34.96,10.21508,-80.23,10.38617,2.04
8.11236,-34.91,10.34443,-80.22,10.60603,2.08
8.22638,-34.86,10.4577,-79.83,10.76696,2.39
8.33338,-34.26,10.5701,-79.74,10.97212,2.49
8.49023,-34.19,10.71045,-79.61,11.14204,3.14
8.58215,-33.91,10.89822,-79.14,11.26491,3.15
8.66588,-33.67,11.0154,-79.09,11.62961,4.05
8.92814,-33.37,11.16322,-78.62,11.78624,4.12
9.07547,-33.15,11.29278,-78.32,12.12164,4.23
9.18548,-33.06,11.41962,-78.23,12.27243,4.66
9.2922,-32.91,11.62412,-78.13,12.39384,4.84
9.39669,-32.83,11.72614,-78.12,12.57398,5.39
9.49293,-32.65,11.85956,-77.71,12.72395,5.69
9.59025,-32.41,12.00641,-77.69,12.84843,6.03
9.70666,-32.39,12.15528,-77.65,13.00137,6.16
9.79775,-32.17,12.49721,-77.57,13.1371,6.46
9.92031,-31.87,12.78659,-76.95,13.2745,6.58
10.03383,-31.77,12.94631,-76.9,13.45513,6.67
10.25708,-31.58,13.0716,-76.1,13.57172,7.06
10.43356,-31.25,13.24401,-75.88,13.76549,7.06
10.56811,-31.12,13.42542,-75.72,13.96268,7.09
10.64895,-31.1,13.5343,-75.51,14.15993,7.97
10.84713,-30.81,13.67351,-75.34,14.29464,8.12
11.08143,-30.35,13.84084,-75.34,14.44801,8.38
11.16995,-30.01,13.95966,-75.1,14.62468,8.55
11.28716,-30.01,14.26381,-75.01,14.81824,8.58
11.37962,-29.99,14.43928,-74.81,15.0024,9.56
11.46651,-29.97,14.54852,-74.58,15.14443,10.13
11.60934,-29.2,14.65039,-74.52,15.28907,10.3
11.72805,-29.18,14.8171,-74.1,15.41772,10.31
11.82008,-28.9,15.04731,-73.89,15.59011,10.43
11.95011,-28.66,15.20209,-73.86,15.81525,10.44
12.07945,-28.63,15.45807,-73.69,16.00207,10.53
12.21918,-28.34,15.5775,-73.63,16.18581,10.78
12.32175,-28.09,15.74175,-73.44,16.50686,10.8
12.4345,-27.97,15.87549,-73.15,16.67832,11.09
12.51327,-27.37,15.98198,-73.04,16.84543,11.28
12.64288,-27.19,16.12517,-72.9,17.04815,11.59
12.76214,-27.17,16.28066,-72.88,17.23032,11.86
12.88953,-27.15,16.54887,-72.87,17.58614,13.66
13.01425,-26.9,16.71148,-72.73,17.73009,13.69
13.17299,-26.75,16.86002,-72.41,17.87222,13.76
13.26363,-26.69,17.00819,-71.92,18.03729,13.91
13.34632,-26.18,17.17781,-71.8,18.22587,13.96
13.43913,-26.08,17.32487,-71.74,18.3658,14.05
13.52896,-25.66,17.44399,-71.66,18.51452,14.24
13.65248,-25.59,17.61342,-71.51,18.82064,14.47
13.7435,-25.35,17.73162,-71.48,18.97326,14.51
13.84058,-24.97,17.85606,-71.36,19.18106,14.52
13.93497,-24.87,17.99119,-71.03,19.36523,14.74
14.02094,-24.78,18.0974,-70.68,19.55563,15.17
14.107,-24.68,18.25848,-70.57,19.69538,15.26
14.21098,-24.4,18.46249,-70.29,19.89511,15.29
14.30386,-24.37,18.61921,-70.07,20.03963,15.37
14.40045,-24.33,18.78284,-70.06,20.2136,15.4
14.63903,-23.89,18.89473,-69.7,20.34651,15.51
14.75251,-23.79,19.00697,-69.7,20.62165,15.65
14.85324,-23.75,19.12415,-69.64,20.82773,15.89
14.94803,-23.7,19.2555,-69.54,20.94658,15.93
15.07079,-23.64,19.43194,-69.54,21.12157,16.25
15.18809,-23.61,19.55288,-69.42,21.26073,16.49
15.30195,-23.43,19.67599,-69.28,21.40361,16.58
15.43726,-23.38,19.84225,-69.23,21.54749,16.68
15.52436,-23.37,20.00555,-69.09,21.90348,17.05
15.64759,-23.26,20.3167,-69.05,22.05462,17.14
15.77408,-23.21,20.44032,-68.94,22.21943,17.4
15.88307,-23.02,20.60043,-68.91,22.44532,17.52
16.01199,-22.79,20.76113,-68.84,22.80506,17.7
16.14113,-22.73,20.87918,-68.76,22.963,17.72
16.23659,-22.6,21.01328,-68.74,23.13505,17.78
16.32553,-22.46,21.12927,-68.35,23.3385,17.88
16.46113,-22.43,21.29607,-68.34,23.52053,17.95
16.57443,-22.23,21.40839,-68.33,23.69126,18.02
16.6642,-22.21,21.55689,-68.25,23.85965,18.29
16.87737,-22.14,21.82245,-67.77,24.03641,18.49
16.99305,-21.94,21.95836,-67.64,24.1859,18.49
17.11585,-21.68,22.10613,-67.43,24.39805,18.9
17.22835,-21.27,22.22996,-67.37,24.57368,19.18
17.39908,-21.2,22.37869,-67.17,24.8172,19.24
17.53092,-20.49,22.52317,-67.04,25.00898,19.32
17.64328,-20.45,22.66656,-66.95,25.16504,19.66
17.74977,-20.4,22.81329,-66.55,25.39208,19.92
17.95347,-20.2,22.94233,-66.51,25.57528,20.19
18.06345,-19.57,23.08121,-66.35,25.77735,20.2
18.1707,-19.05,23.22053,-66.31,26.06209,20.81
18.34681,-17.94,23.37103,-66,26.20054,20.95
18.44563,-17.86,23.48171,-65.71,26.32289,20.97
18.53134,-17.62,23.5827,-65.49,26.57301,20.99
18.68014,-17.23,23.8047,-65.32,26.85954,20.99
18.76584,-16.79,23.90232,-65.28,26.98921,20.99
18.87725,-16.7,24.02142,-65.13,27.20055,21.09
18.96266,-16.17,24.15027,-64.97,27.35093,21.36
19.08213,-16.05,24.28998,-64.71,27.56496,21.44
19.1619,-15.92,24.48377,-64.49,27.70443,21.72
19.27037,-15.82,24.64115,-64.4,27.91505,22.2
19.42525,-15.72,24.80897,-64.16,28.05398,22.64
19.51551,-15.7,24.98104,-64.01,28.21942,22.65
