plant_id,lon,lat,province,region,E_Mit_Mt_tCO2eq_per_yr,avg_E_Mit_cost_usd_per_tCO2eq,total_mitigation
397,114.16,22.52,Hong Kong SAR,Central_South_China,0.082076,-126.349,0.082076
369,116.49,39.95,Beijing,North_China,0.089717,-121.278,0.171793
24,106.43,29.6,Chongqing,Southwest_China,0.220585,-110.624,0.392378
123,113.13,23.15,Guangdong,Central_South_China,0.145668,-99.073,0.538046
89,121.56,31.1,Shanghai,East_China,0.166965,-98.946,0.705011
305,113.81,23.02,Guangdong,Central_South_China,0.09724,-97.581,0.802251
64,103.9,30.56,Sichuan,Southwest_China,0.187288,-95.981,0.989539
106,126.53,45.7,Heilongjiang,Northeast_China,0.165882,-86.031,1.155421
243,120.32,30.26,Zhejiang,East_China,0.115079,-84.659,1.2705
228,121.19,31.38,Shanghai,East_China,0.118749,-83.708,1.389249
262,113.05,22.66,Guangdong,Central_South_China,0.10991,-80.069,1.499159
242,116.55,23.45,Guangdong,Central_South_China,0.109338,-79.086,1.608497
437,104.33,30.67,Sichuan,Southwest_China,0.084889,-69.05,1.693386
96,123.3,41.79,Liaoning,Northeast_China,0.167463,-66.396,1.860849
448,103.76,25.47,Yunnan,Southwest_China,0.084244,-65.054,1.945093
490,106.27,38.53,Ningxia,Northwest_China,0.081968,-63.305,2.027061
231,106.18,37.99,Ningxia,Northwest_China,0.130135,-62.486,2.157196
360,102.76,37.84,Gansu,Northwest_China,0.09969,-62.218,2.256886
247,110.14,22.19,Guangxi,Central_South_China,0.115393,-61.005,2.372279
125,114.21,30.4,Hubei,Central_South_China,0.155503,-60.546,2.527782
187,117.05,39.29,Tianjin,North_China,0.138599,-58.995,2.666381
485,121.28,30.09,Zhejiang,East_China,0.07646,-58.603,2.742841
373,80.59,44.38,Xinjiang,Northwest_China,0.100142,-58.087,2.842983
366,112.67,23.02,Guangdong,Central_South_China,0.089375,-58.024,2.932358
318,103.71,24.98,Yunnan,Southwest_China,0.102081,-57.59,3.034439
162,107.46,40.96,Inner Mongolia,North_China,0.152727,-56.291,3.187166
115,113.32,29.28,Hunan,Central_South_China,0.161749,-55.977,3.348915
412,118.94,25.31,Fujian,East_China,0.080697,-55.121,3.429612
188,113.12,28.33,Hunan,Central_South_China,0.130021,-53.389,3.559633
174,119.15,29.1,Zhejiang,East_China,0.131324,-53.258,3.690957
140,103.47,30.38,Sichuan,Southwest_China,0.148457,-52.763,3.839414
33,110.83,21.67,Guangdong,Central_South_China,0.216028,-51.09,4.055442
475,103.77,24.51,Yunnan,Southwest_China,0.081223,-50.462,4.136665
411,102.17,27.9,Sichuan,Southwest_China,0.089602,-50.195,4.226267
134,80.71,43.94,Xinjiang,Northwest_China,0.162549,-48.563,4.388816
178,112.86,23.47,Guangdong,Central_South_China,0.128317,-47.65,4.517133
327,110.29,19.79,Hainan,Central_South_China,0.100315,-47.389,4.617448
109,86,44.4,Xinjiang,Northwest_China,0.176884,-47.271,4.794332
370,109.66,21.97,Guangxi,Central_South_China,0.091069,-46.954,4.885401
251,109.14,34.66,Shaanxi,Northwest_China,0.123167,-46.933,5.008568
464,111.07,21.94,Guangdong,Central_South_China,0.080041,-46.681,5.088609
21,112.6,26.89,Hunan,Central_South_China,0.224237,-45.886,5.312846
278,118.38,24.89,Fujian,East_China,0.101886,-45.6,5.414732
201,110.36,21.55,Guangdong,Central_South_China,0.127526,-45.186,5.542258
145,117.03,39.95,Hebei,North_China,0.150511,-44.199,5.692769
185,104.73,31.3,Sichuan,Southwest_China,0.134005,-43.619,5.826774
332,112.48,37.52,Shanxi,North_China,0.10545,-42.498,5.932224
470,110.59,40.42,Inner Mongolia,North_China,0.090256,-42.489,6.02248
171,113.8,27.71,Jiangxi,East_China,0.135058,-42.484,6.157538
87,104.26,31.16,Sichuan,Southwest_China,0.173487,-42.287,6.331025
401,107.07,40.83,Inner Mongolia,North_China,0.099801,-41.763,6.430826
353,120.5,30.72,Zhejiang,East_China,0.095862,-41.248,6.526688
352,111.75,21.95,Guangdong,Central_South_China,0.094519,-40.823,6.621207
215,105.5,30.67,Sichuan,Southwest_China,0.127808,-40.672,6.749015
336,114.79,38.74,Hebei,North_China,0.106153,-40.564,6.855168
148,112.88,27.79,Hunan,Central_South_China,0.142915,-39.044,6.998083
196,108.18,23.01,Guangxi,Central_South_China,0.124876,-38.773,7.122959
270,120.09,31.79,Jiangsu,East_China,0.116768,-38.451,7.239727
477,113.62,28.17,Hunan,Central_South_China,0.080323,-37.431,7.32005
494,120.6,27.92,Zhejiang,East_China,0.073927,-36.598,7.393977
221,81.21,43.84,Xinjiang,Northwest_China,0.134567,-36.547,7.528544
160,104.86,29.54,Sichuan,Southwest_China,0.144003,-35.93,7.672547
197,110.82,22.45,Guangdong,Central_South_China,0.123343,-35.882,7.79589
345,104.75,30.29,Sichuan,Southwest_China,0.102291,-35.729,7.898181
425,113.38,23.55,Guangdong,Central_South_China,0.08333,-34.958,7.981511
149,117.61,24.54,Fujian,East_China,0.13085,-34.914,8.112361
288,118.69,39.98,Hebei,North_China,0.114021,-34.861,8.226382
286,112.63,22.3,Guangdong,Central_South_China,0.106997,-34.261,8.333379
130,106.23,30.92,Sichuan,Southwest_China,0.15685,-34.186,8.490229
346,110.26,25.26,Guangxi,Central_South_China,0.09192,-33.91,8.582149
497,117.59,39.26,Tianjin,North_China,0.083733,-33.671,8.665882
11,114.72,38.27,Hebei,North_China,0.262262,-33.368,8.928144
131,110.1,22.68,Guangxi,Central_South_China,0.147324,-33.151,9.075468
285,121.16,30.87,Shanghai,East_China,0.110008,-33.056,9.185476
322,115.34,38.87,Hebei,North_China,0.106725,-32.908,9.292201
374,108.04,41.01,Inner Mongolia,North_China,0.104491,-32.826,9.396692
378,114.34,37.95,Hebei,North_China,0.09624,-32.649,9.492932
350,103.83,30.94,Sichuan,Southwest_China,0.097322,-32.412,9.590254
263,114.41,27.97,Jiangxi,East_China,0.116402,-32.388,9.706656
419,103.2,30.02,Sichuan,Southwest_China,0.0911,-32.168,9.797756
239,111.57,30.51,Hubei,Central_South_China,0.12256,-31.872,9.920316
