plant_id,lon,lat,province,region,E_Mit_Mt_tCO2eq_per_yr,avg_E_Mit_cost_usd_per_tCO2eq,total_mitigation
397,114.16,22.52,Hong Kong SAR,Central_South_China,0.082076,-126.349,0.082076
123,113.13,23.15,Guangdong,Central_South_China,0.145668,-99.073,0.227744
305,113.81,23.02,Guangdong,Central_South_China,0.09724,-97.581,0.324984
262,113.05,22.66,Guangdong,Central_South_China,0.10991,-80.069,0.434894
242,116.55,23.45,Guangdong,Central_South_China,0.109338,-79.086,0.544232
247,110.14,22.19,Guangxi,Central_South_China,0.115393,-61.005,0.659625
125,114.21,30.4,Hubei,Central_South_China,0.155503,-60.546,0.815128
366,112.67,23.02,Guangdong,Central_South_China,0.089375,-58.024,0.904503
115,113.32,29.28,Hunan,Central_South_China,0.161749,-55.977,1.066252
188,113.12,28.33,Hunan,Central_South_China,0.130021,-53.389,1.196273
33,110.83,21.67,Guangdong,Central_South_China,0.216028,-51.09,1.412301
178,112.86,23.47,Guangdong,Central_South_China,0.128317,-47.65,1.540618
327,110.29,19.79,Hainan,Central_South_China,0.100315,-47.389,1.640933
370,109.66,21.97,Guangxi,Central_South_China,0.091069,-46.954,1.732002
464,111.07,21.94,Guangdong,Central_South_China,0.080041,-46.681,1.812043
21,112.6,26.89,Hunan,Central_South_China,0.224237,-45.886,2.03628
201,110.36,21.55,Guangdong,Central_South_China,0.127526,-45.186,2.163806
352,111.75,21.95,Guangdong,Central_South_China,0.094519,-40.823,2.258325
148,112.88,27.79,Hunan,Central_South_China,0.142915,-39.044,2.40124
196,108.18,23.01,Guangxi,Central_South_China,0.124876,-38.773,2.526116
477,113.62,28.17,Hunan,Central_South_China,0.080323,-37.431,2.606439
197,110.82,22.45,Guangdong,Central_South_China,0.123343,-35.882,2.729782
425,113.38,23.55,Guangdong,Central_South_China,0.08333,-34.958,2.813112
286,112.63,22.3,Guangdong,Central_South_China,0.106997,-34.261,2.920109
346,110.26,25.26,Guangxi,Central_South_China,0.09192,-33.91,3.012029
131,110.1,22.68,Guangxi,Central_South_China,0.147324,-33.151,3.159353
239,111.57,30.51,Hubei,Central_South_China,0.12256,-31.872,3.281913
34,114.5,34.59,Henan,Central_South_China,0.223247,-31.58,3.50516
471,110.3,23.47,Guangxi,Central_South_China,0.080834,-31.095,3.585994
385,110.54,22.85,Guangxi,Central_South_China,0.08852,-30.011,3.674514
252,109.77,23.06,Guangxi,Central_South_China,0.117206,-30.006,3.79172
157,112,27.7,Hunan,Central_South_China,0.142838,-29.199,3.934558
198,114.84,30.27,Hubei,Central_South_China,0.129333,-28.635,4.063891
137,112.24,22.61,Guangdong,Central_South_China,0.139739,-28.342,4.20363
491,109.22,21.66,Guangxi,Central_South_China,0.078765,-27.37,4.282395
199,113.93,35.71,Henan,Central_South_China,0.129615,-27.188,4.41201
212,113.08,28.82,Hunan,Central_South_China,0.127386,-27.146,4.539396
348,112.26,25.57,Hunan,Central_South_China,0.097076,-24.966,4.636472
429,113.13,26.08,Hunan,Central_South_China,0.085967,-24.777,4.722439
456,111.45,30.03,Hubei,Central_South_China,0.08606,-24.681,4.808499
272,112.64,27.34,Hunan,Central_South_China,0.113478,-23.785,4.921977
204,111.45,27.72,Hunan,Central_South_China,0.128923,-22.789,5.0509
217,113.59,34.87,Henan,Central_South_China,0.129138,-22.733,5.180038
362,114.49,23.34,Guangdong,Central_South_China,0.089778,-22.21,5.269816
230,112.47,28.05,Hunan,Central_South_China,0.1228,-21.682,5.392616
303,113.34,27.59,Hunan,Central_South_China,0.107252,-19.048,5.499868
102,113.81,34.48,Henan,Central_South_China,0.176111,-17.942,5.675979
237,112.3,26.43,Hunan,Central_South_China,0.119473,-16.05,5.795452
484,108.94,23.21,Guangxi,Central_South_China,0.079762,-15.918,5.875214
301,112,28.67,Hunan,Central_South_China,0.108477,-15.823,5.983691
151,111.69,29.56,Hunan,Central_South_China,0.146561,-15.314,6.130252
200,111.48,29.11,Hunan,Central_South_China,0.12986,-15.22,6.260112
283,109.15,22.3,Guangxi,Central_South_China,0.108697,-14.791,6.368809
128,110.74,26.93,Hunan,Central_South_China,0.154926,-14.672,6.523735
97,112.46,28.54,Hunan,Central_South_China,0.170521,-13.883,6.694256
255,113.39,31.74,Hubei,Central_South_China,0.12112,-13.115,6.815376
167,112.11,26.89,Hunan,Central_South_China,0.137175,-13.084,6.952551
1,114.03,33.55,Henan,Central_South_China,0.320464,-13,7.273015
387,113.91,36.12,Henan,Central_South_China,0.09486,-12.843,7.367875
400,114.88,31.28,Hubei,Central_South_China,0.093723,-12.728,7.461598
355,112.21,32.27,Hubei,Central_South_China,0.099413,-12.58,7.561011
126,111.46,27.16,Hunan,Central_South_China,0.155109,-12.262,7.71612
496,112.77,25.26,Hunan,Central_South_China,0.078011,-11.833,7.794131
88,111.86,32.29,Hubei,Central_South_China,0.178277,-11.424,7.972408
90,112.18,31.8,Hubei,Central_South_China,0.178064,-10.979,8.150472
330,113.31,27.07,Hunan,Central_South_China,0.10079,-10.962,8.251262
407,108.66,22.33,Guangxi,Central_South_China,0.087473,-10.941,8.338735
143,112.78,26.42,Hunan,Central_South_China,0.144301,-9.958,8.483036
13,113.6,34.04,Henan,Central_South_China,0.264968,-8.932,8.748004
