plant_id,lon,lat,province,region,E_Mit_Mt_tCO2eq_per_yr,avg_E_Mit_cost_usd_per_tCO2eq,total_mitigation
89,121.56,31.1,Shanghai,East_China,0.166965,-98.946,0.166965
243,120.32,30.26,Zhejiang,East_China,0.115079,-84.659,0.282044
228,121.19,31.38,Shanghai,East_China,0.118749,-83.708,0.400793
485,121.28,30.09,Zhejiang,East_China,0.07646,-58.603,0.477253
412,118.94,25.31,Fujian,East_China,0.080697,-55.121,0.55795
174,119.15,29.1,Zhejiang,East_China,0.131324,-53.258,0.689274
278,118.38,24.89,Fujian,East_China,0.101886,-45.6,0.79116
171,113.8,27.71,Jiangxi,East_China,0.135058,-42.484,0.926218
353,120.5,30.72,Zhejiang,East_China,0.095862,-41.248,1.02208
270,120.09,31.79,Jiangsu,East_China,0.116768,-38.451,1.138848
494,120.6,27.92,Zhejiang,East_China,0.073927,-36.598,1.212775
149,117.61,24.54,Fujian,East_China,0.13085,-34.914,1.343625
285,121.16,30.87,Shanghai,East_China,0.110008,-33.056,1.453633
263,114.41,27.97,Jiangxi,East_China,0.116402,-32.388,1.570035
27,118.8,36.8,Shandong,East_China,0.234304,-30.351,1.804339
359,114.67,25.68,Jiangxi,East_China,0.092464,-29.993,1.896803
486,118.37,35.03,Shandong,East_China,0.082695,-26.178,1.979498
253,115.92,28.84,Jiangxi,East_China,0.1173,-23.61,2.096798
453,117.84,36.7,Shandong,East_China,0.087098,-23.367,2.183896
241,117,25.09,Fujian,East_China,0.108985,-23.025,2.292881
173,116.71,28.25,Jiangxi,East_China,0.135598,-22.429,2.428479
35,116.07,28.46,Jiangxi,East_China,0.213162,-22.142,2.641641
192,115.39,27.96,Jiangxi,East_China,0.131841,-20.492,2.773482
56,120.25,32.25,Jiangsu,East_China,0.203704,-20.198,2.977186
445,119.05,34.89,Jiangsu,East_China,0.085717,-17.619,3.062903
306,118.3,28.55,Jiangxi,East_China,0.103357,-15.078,3.16626
218,120.56,31.78,Jiangsu,East_China,0.128574,-14.738,3.294834
219,114.88,28.19,Jiangxi,East_China,0.123994,-14.402,3.418828
467,115.42,26.07,Jiangxi,East_China,0.07947,-12.84,3.498298
161,121.14,32.09,Jiangsu,East_China,0.145344,-11.34,3.643642
371,117.43,34.32,Jiangsu,East_China,0.095991,-10.973,3.739633
47,117.2,37.6,Shandong,East_China,0.228041,-10.321,3.967674
44,116.81,37.26,Shandong,East_China,0.23003,-9.121,4.197704
15,115.69,35.03,Shandong,East_China,0.260336,-8.029,4.45804
195,115.46,28.62,Jiangxi,East_China,0.131594,-8.008,4.589634
118,117.16,35.08,Shandong,East_China,0.170663,-7.939,4.760297
245,114.91,26.84,Jiangxi,East_China,0.11832,-7.695,4.878617
5,120.49,32.68,Jiangsu,East_China,0.274216,-7.639,5.152833
104,118.33,36.91,Shandong,East_China,0.175769,-7.069,5.328602
93,121.52,31.84,Jiangsu,East_China,0.18098,-6.389,5.509582
81,117.69,37.71,Shandong,East_China,0.195529,-6.272,5.705111
18,116.95,34.29,Anhui,East_China,0.241836,-6.036,5.946947
435,120.11,32.99,Jiangsu,East_China,0.086303,-5.846,6.03325
17,116.37,37.05,Shandong,East_China,0.250587,-5.738,6.283837
7,115.42,36.52,Shandong,East_China,0.27455,-5.719,6.558387
78,118.36,33.83,Jiangsu,East_China,0.190166,-5.174,6.748553
476,117.14,28.4,Jiangxi,East_China,0.080402,-5.022,6.828955
99,117.26,35.75,Shandong,East_China,0.179882,-4.704,7.008837
168,120,32.66,Jiangsu,East_China,0.141038,-4.606,7.149875
298,118.44,36.46,Shandong,East_China,0.114265,-4.569,7.26414
203,117.04,31.58,Anhui,East_China,0.128065,-4.337,7.392205
37,115.25,35.18,Shandong,East_China,0.236304,-4.249,7.628509
22,115.79,35.51,Shandong,East_China,0.246048,-3.461,7.874557
264,119.53,32.5,Jiangsu,East_China,0.119246,-3.402,7.993803
206,116.03,27.82,Jiangxi,East_China,0.124603,-3.177,8.118406
172,117,36.89,Shandong,East_China,0.14798,-2.903,8.266386
164,116.31,37.51,Shandong,East_China,0.152023,-2.314,8.418409
60,120.87,32.35,Jiangsu,East_China,0.202824,-2.309,8.621233
468,117.03,36.17,Shandong,East_China,0.088266,-0.967,8.709499
144,117.95,35.04,Shandong,East_China,0.154485,-0.302,8.863984
184,118.33,37.67,Shandong,East_China,0.146493,-0.24,9.010477
499,117.1,35.44,Shandong,East_China,0.083576,-0.06,9.094053
54,118.7,35.59,Shandong,East_China,0.211606,-0.052,9.305659
39,116.65,34.68,Jiangsu,East_China,0.227807,0.074,9.533466
72,117.48,36.96,Shandong,East_China,0.202606,0.137,9.736072
132,116.17,35.19,Shandong,East_China,0.165256,0.243,9.901328
344,115.72,29.44,Jiangxi,East_China,0.099044,0.348,10.000372
267,117.59,32.1,Anhui,East_China,0.11953,0.751,10.119902
323,114.86,27.3,Jiangxi,East_China,0.10135,0.829,10.221252
29,116.17,34.84,Shandong,East_China,0.247558,0.877,10.46881
405,116.19,29.65,Jiangxi,East_China,0.091684,0.922,10.560494
76,118.77,35.1,Shandong,East_China,0.20173,1.194,10.762224
55,116.57,36.64,Shandong,East_China,0.218018,1.858,10.980242
165,116.87,28.84,Jiangxi,East_China,0.13859,2.215,11.118832
46,115.96,32.91,Anhui,East_China,0.226242,2.478,11.345074
380,115.74,28.24,Jiangxi,East_China,0.094635,3.57,11.439709
226,118.81,33.66,Jiangsu,East_China,0.128772,3.996,11.568481
454,116.16,30.25,Anhui,East_China,0.084771,4.404,11.653252
333,115.81,34.58,Shandong,East_China,0.109705,4.437,11.762957
159,118.24,35.44,Shandong,East_China,0.152184,4.473,11.915141
6,115.67,36.05,Shandong,East_China,0.273016,4.553,12.188157
420,117.15,34.67,Shandong,East_China,0.091193,4.69,12.27935
142,116.75,37.72,Shandong,East_China,0.162905,4.7,12.442255
224,118.85,35.94,Shandong,East_China,0.132475,4.865,12.57473
124,117.22,32.45,Anhui,East_China,0.162337,5.681,12.737067
349,118.43,31.13,Anhui,East_China,0.099676,5.75,12.836743
214,117.75,35.76,Shandong,East_China,0.135925,5.915,12.972668
111,118.88,36.33,Shandong,East_China,0.174767,6.125,13.147435
163,119.16,35.37,Shandong,East_China,0.149856,6.25,13.297291
382,118.74,37.78,Shandong,East_China,0.1035,6.505,13.400791
279,118.37,35.93,Shandong,East_China,0.122227,6.588,13.523018
337,115.95,35.83,Shandong,East_China,0.106681,6.76,13.629699
276,116.92,32.05,Anhui,East_China,0.116534,6.8,13.746233
302,116.45,31.95,Anhui,East_China,0.111219,7.169,13.857452
68,120.04,33.45,Jiangsu,East_China,0.198737,7.5,14.056189
50,120.5,36.83,Shandong,East_China,0.21852,7.735,14.274709
154,116.42,34.4,Anhui,East_China,0.15518,7.851,14.429889
213,116.13,32.46,Anhui,East_China,0.133435,8.525,14.563324
324,117.58,35.35,Shandong,East_China,0.110198,8.752,14.673522
108,115.9,36.94,Shandong,East_China,0.179426,9.057,14.852948
112,119.56,33.62,Jiangsu,East_China,0.170219,9.233,15.023167
48,115.53,33.25,Anhui,East_China,0.227622,9.261,15.250789
84,117.87,34.11,Jiangsu,East_China,0.185507,9.366,15.436296
69,116.76,35.76,Shandong,East_China,0.204849,9.63,15.641145
176,116.65,36.17,Shandong,East_China,0.147309,9.653,15.788454
216,118.59,37.23,Shandong,East_China,0.13576,9.708,15.924214
233,116.66,35.29,Shandong,East_China,0.13085,9.757,16.055064
62,119.31,36.14,Shandong,East_China,0.210211,9.76,16.265275
52,116.28,35.61,Shandong,East_China,0.220242,10.331,16.485517
129,119.41,36.79,Shandong,East_China,0.165855,10.615,16.651372
414,117.19,31.07,Anhui,East_China,0.090092,11.303,16.741464
277,117.41,36.17,Shandong,East_China,0.124758,11.395,16.866222
147,119.63,31.9,Jiangsu,East_China,0.153355,11.65,17.019577
103,118.61,34.25,Jiangsu,East_China,0.174815,11.808,17.194392
43,119.9,33.93,Jiangsu,East_China,0.221981,11.916,17.416373
281,117.43,37.29,Shandong,East_China,0.120562,12.221,17.536935
460,120.76,37.07,Shandong,East_China,0.088828,12.349,17.625763
210,118.77,32.96,Jiangsu,East_China,0.13034,12.473,17.756103
308,120.8,37.57,Shandong,East_China,0.110999,12.537,17.867102
82,116.11,36.25,Shandong,East_China,0.191678,12.59,18.05878
375,116.64,30.32,Anhui,East_China,0.096335,12.667,18.155115
462,116.38,28.1,Jiangxi,East_China,0.082943,12.961,18.238058
95,115.57,32.7,Anhui,East_China,0.185356,13.533,18.423414
266,120.26,37.26,Shandong,East_China,0.126116,13.9,18.54953
271,115.8,36.5,Shandong,East_China,0.123742,14.095,18.673272
379,118.15,31.89,Anhui,East_China,0.09622,15.23,18.769492
66,118.18,34.59,Shandong,East_China,0.209039,15.392,18.978531
381,118.54,32.36,Anhui,East_China,0.097289,15.471,19.07582
122,117.19,32.99,Anhui,East_China,0.17131,15.647,19.24713
86,119.12,33.86,Jiangsu,East_China,0.18565,15.878,19.43278
121,119.47,34.24,Jiangsu,East_China,0.17125,16.535,19.60403
413,119.32,35.69,Shandong,East_China,0.095102,16.669,19.699132
441,117.75,31.22,Anhui,East_China,0.088922,17.223,19.788054
300,119.64,32.99,Jiangsu,East_China,0.111956,17.319,19.90001
53,120.44,33.14,Jiangsu,East_China,0.213201,17.615,20.113211
138,121.75,37.2,Shandong,East_China,0.15594,17.803,20.269151
166,118.61,34.72,Shandong,East_China,0.150195,17.822,20.419346
313,121.3,37,Shandong,East_China,0.109692,18.008,20.529038
186,117.91,37.17,Shandong,East_China,0.145832,18.201,20.67487
179,119.16,33.28,Jiangsu,East_China,0.140761,19.043,20.815631
294,117.79,32.63,Anhui,East_China,0.115157,19.11,20.930788
238,115.64,33.7,Anhui,East_China,0.131924,19.366,21.062712
191,119.9,36.91,Shandong,East_China,0.143666,19.634,21.206378
465,116.45,28.65,Jiangxi,East_China,0.083304,19.732,21.289682
70,119.75,36.46,Shandong,East_China,0.205824,20.648,21.495506
182,116.62,32.43,Anhui,East_China,0.143486,20.9,21.638992
42,117.82,33.59,Anhui,East_China,0.233633,22.271,21.872625
406,116.9,32.82,Anhui,East_China,0.096463,22.45,21.969088
351,119.53,31.44,Jiangsu,East_China,0.103225,22.698,22.072313
265,118.17,33.3,Jiangsu,East_China,0.12288,23.098,22.195193
342,119.04,32.51,Anhui,East_China,0.103903,25.258,22.299096
113,117.69,34.6,Shandong,East_China,0.178693,25.476,22.477789
36,117.33,33.47,Anhui,East_China,0.238842,25.481,22.716631
240,119.74,35.91,Shandong,East_China,0.133503,25.915,22.850134
442,116.25,36.59,Shandong,East_China,0.092879,26.022,22.943013
117,116.79,33.81,Anhui,East_China,0.175484,26.084,23.118497
259,120.18,36.5,Shandong,East_China,0.129452,26.95,23.247949
268,120.32,33.65,Jiangsu,East_China,0.124044,27.495,23.371993
153,119.03,34.44,Jiangsu,East_China,0.152859,28.724,23.524852
317,115.9,33.28,Anhui,East_China,0.114243,28.788,23.639095
329,119.17,31.82,Jiangsu,East_China,0.10749,28.832,23.746585
65,116.28,33.37,Anhui,East_China,0.216428,28.94,23.963013
67,117.39,33.93,Anhui,East_China,0.210689,28.954,24.173702
307,120.06,34.16,Jiangsu,East_China,0.114037,29.116,24.287739
433,116.82,29.3,Jiangxi,East_China,0.087806,29.266,24.375545
386,122.25,37.13,Shandong,East_China,0.100822,29.623,24.476367
91,116.51,32.92,Anhui,East_China,0.192376,30.034,24.668743
133,117.72,33.13,Anhui,East_China,0.1664,30.531,24.835143
483,120.74,32.83,Jiangsu,East_China,0.086523,32.554,24.921666
498,118.16,32.89,Anhui,East_China,0.085535,33.017,25.007201
92,115.97,33.73,Anhui,East_China,0.192944,33.653,25.200145
79,116.79,33.32,Anhui,East_China,0.206147,44.434,25.406292
418,116.43,33.62,Anhui,East_China,0.098521,46.053,25.504813
