plant_id,lon,lat,province,region,E_Mit_Mt_tCO2eq_per_yr,avg_E_Mit_cost_usd_per_tCO2eq
369,116.49,39.95,Beijing,North_China,0.089717,-121.278
187,117.05,39.29,Tianjin,North_China,0.138599,-58.995
162,107.46,40.96,Inner Mongolia,North_China,0.152727,-56.291
145,117.03,39.95,Hebei,North_China,0.150511,-44.199
332,112.48,37.52,Shanxi,North_China,0.10545,-42.498
470,110.59,40.42,Inner Mongolia,North_China,0.090256,-42.489
401,107.07,40.83,Inner Mongolia,North_China,0.099801,-41.763
336,114.79,38.74,Hebei,North_China,0.106153,-40.564
288,118.69,39.98,Hebei,North_China,0.114021,-34.861
497,117.59,39.26,Tianjin,North_China,0.083733,-33.671
11,114.72,38.27,Hebei,North_China,0.262262,-33.368
322,115.34,38.87,Hebei,North_China,0.106725,-32.908
374,108.04,41.01,Inner Mongolia,North_China,0.104491,-32.826
378,114.34,37.95,Hebei,North_China,0.09624,-32.649
101,115.71,39.11,Hebei,North_China,0.176477,-31.247
75,118.63,39.5,Hebei,North_China,0.198181,-30.812
222,116.01,39.45,Hebei,North_China,0.130033,-28.661
136,119.07,39.77,Hebei,North_China,0.158734,-26.746
417,112.02,37.21,Shanxi,North_China,0.092804,-26.08
434,117.85,40.06,Hebei,North_China,0.091023,-25.347
340,114.22,36.49,Hebei,North_China,0.103982,-24.401
452,113.05,39.6,Shanxi,North_China,0.092882,-24.371
25,115.26,37.99,Hebei,North_China,0.238583,-23.888
229,114.49,36.82,Hebei,North_China,0.126491,-23.208
392,118.21,39.47,Hebei,North_China,0.095455,-22.602
292,114.37,38.43,Hebei,North_China,0.11568,-21.939
120,117.89,39.71,Hebei,North_China,0.170736,-21.197
170,116.46,39.3,Hebei,North_China,0.148799,-17.232
155,115.16,38.47,Hebei,North_China,0.154878,-15.724
447,113,36.03,Shanxi,North_China,0.090256,-15.7
94,114.74,36.35,Hebei,North_China,0.183138,-13.137
26,114.95,36.72,Hebei,North_China,0.24066,-12.6
73,114.74,37.76,Hebei,North_China,0.198649,-10.006
116,115.73,38.17,Hebei,North_China,0.174269,-9.118
444,115.65,38.61,Hebei,North_China,0.091771,-3.76
341,117.43,39.72,Tianjin,North_China,0.108592,-3.65
479,111.09,35.52,Shanxi,North_China,0.085736,-2.425
339,116.49,38.8,Hebei,North_China,0.109143,-1.656
135,115.22,36.22,Hebei,North_China,0.158322,-0.794
314,116.6,38.27,Hebei,North_China,0.113663,0.761
493,116.11,38.98,Hebei,North_China,0.086499,1.454
273,116.08,38.51,Hebei,North_China,0.124661,3.477
459,122.05,45.96,Inner Mongolia,North_China,0.094041,4.244
235,116.19,37.99,Hebei,North_China,0.134703,4.563
150,115.37,37,Hebei,North_China,0.156846,5.216
156,114.82,37.18,Hebei,North_China,0.154497,7.06
487,114.42,37.45,Hebei,North_China,0.086077,7.187
202,117.25,38.07,Hebei,North_China,0.141028,7.654
383,115.7,37.76,Hebei,North_China,0.102445,7.744
236,115.83,37.41,Hebei,North_China,0.135994,8.968
390,117.03,38.53,Hebei,North_China,0.101487,10.108
234,115.18,37.52,Hebei,North_China,0.137542,17.655
