plant_id,lon,lat,province,region,E_Mit_Mt_tCO2eq_per_yr,avg_E_Mit_cost_usd_per_tCO2eq,total_mitigation
106,126.53,45.7,Heilongjiang,Northeast_China,0.165882,-86.031,0.165882
96,123.3,41.79,Liaoning,Northeast_China,0.167463,-66.396,0.333345
357,123.17,41.34,Liaoning,Northeast_China,0.096589,-24.333,0.429934
290,120.54,41.74,Liaoning,Northeast_China,0.112361,-20.446,0.542295
458,122.46,40.59,Liaoning,Northeast_China,0.085696,-16.789,0.627991
338,121.56,41.92,Liaoning,Northeast_China,0.107598,-14.114,0.735589
209,122.23,41.04,Liaoning,Northeast_China,0.127641,-10.309,0.86323
180,123.35,42.74,Liaoning,Northeast_China,0.150228,-7.496,1.013458
274,123.7,42.38,Liaoning,Northeast_China,0.123669,-7.223,1.137127
208,121.83,39.65,Liaoning,Northeast_China,0.133089,-6.041,1.270216
287,122.88,41.76,Liaoning,Northeast_China,0.11705,-5.547,1.387266
183,121.98,41.46,Liaoning,Northeast_China,0.145961,-4.678,1.533227
473,122.87,42.64,Liaoning,Northeast_China,0.090795,-1.608,1.624022
422,121.33,41.19,Liaoning,Northeast_China,0.09587,-1.469,1.719892
500,122.88,39.85,Liaoning,Northeast_China,0.084178,1.095,1.80407
244,122.72,42.25,Liaoning,Northeast_China,0.133769,4.696,1.937839
402,126.1,45.94,Heilongjiang,Northeast_China,0.101257,4.722,2.039096
328,123.22,42.26,Liaoning,Northeast_China,0.113064,6.121,2.15216
275,122.72,41,Liaoning,Northeast_China,0.121678,7.271,2.273838
310,123.98,42.78,Liaoning,Northeast_China,0.117736,9.121,2.391574
343,122.78,45.55,Jilin,Northeast_China,0.105468,10.677,2.497042
365,122.3,39.63,Liaoning,Northeast_China,0.105162,10.836,2.602204
446,125.52,45.91,Heilongjiang,Northeast_China,0.09642,11.127,2.698624
250,124.28,43.28,Jilin,Northeast_China,0.135104,12.664,2.833728
431,125.39,43.7,Jilin,Northeast_China,0.097973,12.702,2.931701
394,126.89,47.33,Heilongjiang,Northeast_China,0.103182,12.784,3.034883
399,122.07,42.29,Liaoning,Northeast_China,0.101336,13.291,3.136219
325,127.06,46.64,Heilongjiang,Northeast_China,0.114621,15.757,3.25084
449,125.84,46.87,Heilongjiang,Northeast_China,0.096683,15.926,3.347523
450,123.37,39.98,Liaoning,Northeast_China,0.089704,17.598,3.437227
440,130.49,46.97,Heilongjiang,Northeast_China,0.092459,21.026,3.529686
257,122.43,41.64,Liaoning,Northeast_China,0.132543,21.545,3.662229
430,126.57,46.62,Heilongjiang,Northeast_China,0.098143,27.574,3.760372
466,119.32,41.7,Liaoning,Northeast_China,0.091302,27.847,3.851674
376,127.51,46.85,Heilongjiang,Northeast_China,0.105156,31.333,3.95683
367,126.45,44.05,Jilin,Northeast_China,0.107906,33.34,4.064736
415,123.7,43.6,Jilin,Northeast_China,0.101014,34.455,4.16575
297,125.17,44.19,Jilin,Northeast_China,0.124394,35.924,4.290144
361,126.92,44.99,Jilin,Northeast_China,0.109038,40.389,4.399182
246,125.65,44.29,Jilin,Northeast_China,0.137328,41.341,4.53651
432,124.99,43,Jilin,Northeast_China,0.098155,43.576,4.634665
280,126.63,44.62,Jilin,Northeast_China,0.128612,45.069,4.763277
461,125.68,42.59,Jilin,Northeast_China,0.093446,46.308,4.856723
326,126.02,44.62,Jilin,Northeast_China,0.116346,49.402,4.973069
321,124.82,43.74,Jilin,Northeast_China,0.119149,51.507,5.092218
377,124.31,43.9,Jilin,Northeast_China,0.108752,52.658,5.20097
331,125.32,44.65,Jilin,Northeast_China,0.117209,52.924,5.318179
404,124.56,44.34,Jilin,Northeast_China,0.104978,57.863,5.423157
443,124.82,44.76,Jilin,Northeast_China,0.099488,61.613,5.522645
395,126.35,45.01,Jilin,Northeast_China,0.106542,71.689,5.629187
409,125.61,45.05,Jilin,Northeast_China,0.104242,72.739,5.733429
