plant_id,lon,lat,province,region,E_Mit_Mt_tCO2eq_per_yr,avg_E_Mit_cost_usd_per_tCO2eq,total_mitigation
24,106.43,29.6,Chongqing,Southwest_China,0.220585,-110.624,0.220585
64,103.9,30.56,Sichuan,Southwest_China,0.187288,-95.981,0.407873
437,104.33,30.67,Sichuan,Southwest_China,0.084889,-69.05,0.492762
448,103.76,25.47,Yunnan,Southwest_China,0.084244,-65.054,0.577006
318,103.71,24.98,Yunnan,Southwest_China,0.102081,-57.59,0.679087
140,103.47,30.38,Sichuan,Southwest_China,0.148457,-52.763,0.827544
475,103.77,24.51,Yunnan,Southwest_China,0.081223,-50.462,0.908767
411,102.17,27.9,Sichuan,Southwest_China,0.089602,-50.195,0.998369
185,104.73,31.3,Sichuan,Southwest_China,0.134005,-43.619,1.132374
87,104.26,31.16,Sichuan,Southwest_China,0.173487,-42.287,1.305861
215,105.5,30.67,Sichuan,Southwest_China,0.127808,-40.672,1.433669
160,104.86,29.54,Sichuan,Southwest_China,0.144003,-35.93,1.577672
345,104.75,30.29,Sichuan,Southwest_China,0.102291,-35.729,1.679963
130,106.23,30.92,Sichuan,Southwest_China,0.15685,-34.186,1.836813
350,103.83,30.94,Sichuan,Southwest_China,0.097322,-32.412,1.934135
419,103.2,30.02,Sichuan,Southwest_China,0.0911,-32.168,2.025235
194,105.22,30.27,Sichuan,Southwest_China,0.134555,-31.116,2.15979
269,104.78,30.75,Sichuan,Southwest_China,0.118704,-29.184,2.278494
335,107.64,31.04,Sichuan,Southwest_China,0.102568,-28.095,2.381062
295,105.8,31.02,Sichuan,Southwest_China,0.112748,-27.972,2.49381
261,103.8,29.99,Sichuan,Southwest_China,0.11926,-27.167,2.61307
232,105.53,29.03,Sichuan,Southwest_China,0.124726,-26.901,2.737796
416,104.56,28.82,Sichuan,Southwest_China,0.090641,-26.692,2.828437
436,107.06,31.75,Sichuan,Southwest_China,0.089834,-25.66,2.918271
248,106.11,31.4,Sichuan,Southwest_China,0.123521,-25.59,3.041792
398,105.25,31.09,Sichuan,Southwest_China,0.094387,-24.867,3.136179
347,104.98,28.55,Sichuan,Southwest_China,0.100732,-23.752,3.236911
388,105.17,31.66,Sichuan,Southwest_China,0.094785,-23.695,3.331696
254,105,29.04,Sichuan,Southwest_China,0.122768,-23.638,3.454464
291,105.96,30.5,Sichuan,Southwest_China,0.113853,-23.427,3.568317
190,106.44,30.47,Sichuan,Southwest_China,0.135316,-23.384,3.703633
249,107.07,30.91,Sichuan,Southwest_China,0.123232,-23.257,3.826865
428,106.9,30.47,Sichuan,Southwest_China,0.088949,-22.459,3.915814
293,106.63,31.24,Sichuan,Southwest_China,0.113294,-22.229,4.029108
299,104.44,29.96,Sichuan,Southwest_China,0.112499,-21.268,4.141607
319,105.35,29.48,Chongqing,Southwest_China,0.106484,-20.396,4.248091
296,103.75,29.52,Sichuan,Southwest_China,0.109979,-19.569,4.35807
354,107.65,30.07,Chongqing,Southwest_China,0.098812,-17.856,4.456882
469,106.01,28.97,Chongqing,Southwest_China,0.085411,-16.165,4.542293
391,106.56,31.73,Sichuan,Southwest_China,0.096727,-15.647,4.63902
489,105.64,31.47,Sichuan,Southwest_China,0.084648,-14.533,4.723668
427,105.64,30.17,Chongqing,Southwest_China,0.090808,-14.394,4.814476
410,105.07,29.88,Sichuan,Southwest_China,0.093278,-13.732,4.907754
282,107.16,30.06,Chongqing,Southwest_China,0.113292,-12.78,5.021046
368,104.39,29.44,Sichuan,Southwest_China,0.100583,-12.712,5.121629
472,106.06,31.87,Sichuan,Southwest_China,0.08496,-11.799,5.206589
403,107.4,30.57,Sichuan,Southwest_China,0.092923,-11.457,5.299512
315,105.89,29.77,Chongqing,Southwest_China,0.107843,-9.042,5.407355
481,106.77,29.13,Chongqing,Southwest_China,0.084253,-8.686,5.491608
