plant_id,lon,lat,province,region,emissions_feedstock_transport_kg_co2eq,emissions_digestate_transport_kg_co2eq,emissions_biogas_biomethane_leakage_kg_co2eq,emissions_anaerobic_digestion_and_biogas_upgrading_kg_co2eq,emissions_co2_transport_kg_co2eq,emissions_co2_injection_and_storage_kg_co2eq,emissions_CHP_kg_co2eq,credit_avoided_natural_gas_kg_co2eq,credit_avoided_npk_fertilisers_kg_co2,cdr_geological_storage_kg_co2eq,net_life_cycle_ghg_emissions_kg_co2eq,total_mitigation_kg_co2eq
1,114.03,33.55,Henan,Central_South_China,3633108.8,4310700.8,79933392,16969917.5,453286.1,2522464.7,4236531,-110842085.6,-78717722.5,-242964029.8,-130904628.9,-320464437
2,116.34,34.03,Henan,Central_South_China,3653988.8,4335475,74170418,10971954.2,1083029.1,2322349.9,4260879,-102048642.6,-79170125.5,-223688947.2,-122890853.2,-304109621.3
3,114.75,33.83,Henan,Central_South_China,3486862.2,4137178.4,73987943.3,13614610.8,418132.8,2326842.1,4065994.3,-102246041.5,-75549030.5,-224121642.3,-122084078.4,-299879150.4
4,115.03,33.29,Henan,Central_South_China,3608306.6,4281272.8,73667068.2,11250069.3,414735.6,2307937.3,4207609.4,-101415327.3,-78180338.7,-222300730.5,-122563731.3,-302159397.3
5,120.49,32.68,Jiangsu,East_China,2994007.6,3552404.1,69465863.3,17505040.6,395821.1,2202681.2,3491281.6,-96790164.8,-64870464.8,-212162450.3,-112555350.8,-274215980.4
6,115.67,36.05,Shandong,East_China,3080551.4,3655088.7,69380302.5,15960203.3,3622511.8,2194144.9,3592199.5,-96415061.9,-66745589.1,-211340230.7,-109855228.6,-273015879.6
7,115.42,36.52,Shandong,East_China,3144177.6,3730581.6,68933375.3,14448258.6,2493871,2174623.9,3666393.4,-95557272.2,-68124164.5,-209459969.9,-110868688.5,-274550125.2
8,114.37,35.59,Henan,Central_South_China,3185997,3780200.5,68337540.9,13158583.8,3179221.9,2151374.4,3715158.5,-94535644.1,-69030255.2,-207220578,-109712501,-273278400.3
9,115.43,34.16,Henan,Central_South_China,3395598.8,4028894,66976865.3,8287181.8,375737.1,2090917.1,3959573.1,-91879027.7,-73571648.7,-201397318.4,-112282551.2,-277733227.6
10,113.55,33.55,Henan,Central_South_China,3268477.3,3878063.8,66749787.4,10210781.8,375804,2091289.1,3811338,-91895376.5,-70817337.5,-201433154.8,-111047613.4,-273760327.4
