plant_id,lon,lat,province,region,cost_operational_and_maintenance_$,cost_investment_$,cost_biomass_procurement_$,cost_transport_biomass_$,cost_transport_digestate_$,cost_biogas_upgrading_$,cost_transport_co2_$,cost_storage_co2_$,revenue_biomethane_$,revenue_digestate_$
1,114.03,33.55,Henan,Central_South_China,11210614.7,22862891,33912203.6,2494005.5,2959149.3,30032541.6,173203.3,1689810.5,102412759.1,7087782.7
2,116.34,34.03,Henan,Central_South_China,10402360.7,21214540.5,38421098.9,2508338.9,2976156,27649967.9,413831.9,1555752.7,94288040.5,7128517.2
3,114.75,33.83,Henan,Central_South_China,10376768.7,21162348.3,33726771.4,2393612.1,2840032.1,27703452.9,159771,1558762.1,94470427.5,6802472.1
4,115.03,33.29,Henan,Central_South_China,10331766.2,21070570.2,33380936.8,2476979.6,2938948,27478371.8,158472.9,1546097.6,93702887.6,7039396.4
5,120.49,32.68,Jiangsu,East_China,9742549.5,19868923.6,31218183.4,2055284.2,2438604.4,26225189.1,151245.6,1475586.1,89429459.7,5840968.7
6,115.67,36.05,Shandong,East_China,9730549.6,19844451.1,33159328.5,2114693.6,2509093.9,26123555.3,1384183.4,1469867.6,89082882.6,6009805.8
7,115.42,36.52,Shandong,East_China,9667868.3,19716619.1,30449565.3,2158370.9,2560917.2,25891138.2,952923,1456790.4,88290326.2,6133933.5
8,114.37,35.59,Henan,Central_South_China,9584302.9,19546196,31295511.2,2187078.4,2594978.9,25614329.2,1214799.7,1441215.5,87346391,6215518.3
9,115.43,34.16,Henan,Central_South_China,9393468.8,19157009.7,33650696.7,2330962.9,2765698.5,24894521.8,143571.4,1400714.8,84891805.1,6624427.6
10,113.55,33.55,Henan,Central_South_China,9361621.3,19092060,30520705,2243698.4,2662158.7,24898951.5,143596.9,1400964,84906910.7,6376428.1
11,114.72,38.27,Hebei,North_China,9360022.9,19088800.3,23315176.9,1943498,2305969.6,25230294.9,145507.9,1419607.4,86036811.3,5523280.4
12,114.95,34.78,Henan,Central_South_China,9274791.1,18914978.7,32544588.8,2200852.1,2611321.4,24692675.9,615632.6,1389357.7,84203498.3,6254662
13,113.6,34.04,Henan,Central_South_China,9148540.3,18657503.3,28529449.8,2125578.4,2522008.8,24407275.7,140761.4,1373299.4,83230266.7,6040739.5
14,114.95,35.94,Henan,Central_South_China,8902042.3,18154796,29580697.3,2045781.1,2427329,23774860.3,1297457.3,1337715.9,81073692.4,5813961.6
15,115.69,35.03,Shandong,East_China,8824760.3,17997187.4,26787735.8,2215611.9,2628833.9,23358485.6,733299.9,1314288.2,79653830,6296608.3
16,115.24,33.73,Henan,Central_South_China,8629352.8,17598674,33357503.1,2223271.8,2637922.5,22777767.7,131363.7,1281613.5,77673547.1,6318377.3
17,116.37,37.05,Shandong,East_China,8591808.1,17522105.4,27002273.9,2071187.8,2457474.1,22838070.7,559666.8,1285006.5,77879183.8,5886165.5
18,116.95,34.29,Anhui,East_China,8552389.3,17441714.9,27020887.3,1876056.2,2225949.6,22941070.9,753441.1,1290801.9,78230420.8,5331615.8
19,114.95,34.28,Henan,Central_South_China,8514753,17364959.4,29230936.5,2034390.9,2413814.4,22653644.7,230670.5,1274629.6,77250280.3,5781591.4
20,115.93,34.31,Henan,Central_South_China,8506161.8,17347438.7,32324351.4,2176742.9,2582715.8,22469151.3,257887.2,1264248.9,76621146.8,6186145.6
21,112.6,26.89,Hunan,Central_South_China,8407421.6,17146068.2,16913750.5,1580875.1,1875715.8,22847017.3,2056779.3,1285509.9,77909692.4,4492732.4
